상품명,상품코드,판매가격,소비자가격,매입원가,적립금,적립금타입,제조사,원산지,재고관리등급,총재고수량,안전재고수량,세금등급,최소주문수량,상품설명,서비스문의안내,결제안내,배송안내,교환반품안내,zoom이미지,대이미지,중이미지,소이미지,옵션형태,옵션1,옵션2,옵션3,사용자지정옵션,상품자체코드,제조일자,출시일자,개별배송비,모델명,브랜드명,유효기간,상품검색태그
,새로 등록할 상품의 상품코드는 비워두십시오,,,,," 금액이면 M, 퍼센트이면 P라고 입력",,,A-일반재고상품 B-중요재고관리상품 C-재고관리 안함 * 미기입시 C로 처리 ,,,A-과세 B-면세 C-비과세 * 미기입시 A로 처리, 0이나 빈칸인 경우 자동으로 1로 처리, html을 사용하셔도 무방,미입력시 (기본)전체설명 사용을 합니다. N입력하면 사용안함,미입력시 (기본)전체설명 사용을 합니다. N입력하면 사용안함,미입력시 (기본)전체설명 사용을 합니다. N입력하면 사용안함,미입력시 (기본)전체설명 사용을 합니다. N입력하면 사용안함,"zoom이미지(500*500픽셀)는 ""/public_html/web/product/big/""","대이미지(300*300픽셀)는 ""/public_html/web/product/medium/""","중이미지(220*220픽셀)는 ""/public_html/web/product/small/""","소이미지(100*100픽셀)는 ""/public_html/web/product/tiny/"" ",,,,,,,,,무료: 착불: 고정:금액(숫자) 증가:금액(숫자)  형태로 기입하시고 미입력시 기본배송비가 설정,,,,
,,,,,,,,,,,,,,상세이미지 link 처리,,,,,FTP를 통하여 업로드,FTP를 통하여 업로드,FTP를 통하여 업로드,FTP를 통하여 업로드,,,,,,,,,,,,,
